,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.09245408984388186,-2.17497503205101e-06,-0.06840007873390015,-6.509055984626929e-08,-5.568240218681313e-07,7.404415715224499e-07,0.001198248082478954,0.0,-2.538884335109592e-05,-0.12419058779936538,-0.1324297062009161,0.0,-3.843222047000728e-07,-2.579924614393628e-07,-0.029234542434036143,0.0,0.9506092603788969,-0.4289868436492666,-1.5086566814054827e-07,0.0,-1.7279319538493328e-06,-2.1546595801241963e-08,0.0,-0.00011688783396331713,-0.006096510842275542,0.0,-1.8845631929871045e-07,-1.3183855687430679e-05,0.0,0.0
left cerebral cortex,-1.5221074711464328e-07,0.0,-3.4066409877079614e-06,0.0,3.417847580618548e-08,3.172856990047215e-06,-2.6026645011493573e-06,4.460553514699395e-06,0.0002703342057675397,1.0663928774278133e-05,-3.2981099892945643e-07,-0.06227463879949257,-5.086401957944877e-07,1.8061920666996483e-06,0.0,-0.0009191703520303443,-2.271234021565907e-06,9.294046835723474e-09,0.9350655847065417,-2.1634662590102996e-07,-5.533097451555296e-06,-4.0420737709979743e-07,0.0,1.3251851159389765e-07,2.0888377454459983e-08,0.0067326278874578205,-5.296054132136147e-05,0.0,1.8123495669706664e-05,0.05477164982718902,-1.3788454226665193e-07
left lateral ventricle,-0.03586628556788696,-0.009735158111749263,0.0,0.09243042295056907,0.0,0.0,-0.03001923501091522,-0.0928577674123797,0.0,7.286778675269499e-07,0.243766538462935,0.014750828061476566,-0.00012275910202773588,-2.1918227555608687e-07,-0.0024532788638215856,-0.04003202707948734,-0.00020133225872022984,-0.0013025218073451008,-0.010183125909831675,0.8324251938593468,-0.01124828900070184,0.07289886000611343,0.0,0.0,0.0,-2.0057071091663072e-05,2.4137988423148624e-06,0.3652834677856152,0.0,0.0,8.714517332997843e-05
left inferior lateral ventricle,-2.2368416614415563e-06,0.0,1.7101257661093865e-06,0.0,0.0,1.9068088321754226e-06,0.0,-1.4089546355191332e-05,0.0,4.060299880161748e-07,3.928090988789937e-07,0.0,-7.480845536000233e-09,2.105370189546718e-07,4.568661098100185e-07,8.556370981376977e-05,-2.452255576363296e-07,0.0,0.0,0.0,0.4316105965936586,2.2948759947955213e-06,9.206225816354973e-07,2.3947011095338756e-07,0.0,0.0,2.1477468770995817e-08,1.25762561092176e-06,1.5494542294932798e-06,-1.4242619900335352e-05,0.0
left cerebellum white matter,-0.1344364936039181,-0.2162069628563305,3.0626966600817716e-07,0.0,0.0,0.42316450882421175,7.40887196681713e-06,0.0,0.0,5.8688893183709724e-05,0.0,0.0,1.1923165053485042e-07,1.9861010395182524e-06,-4.158197630753592e-07,-0.0012790516500437756,2.3718181912654516e-06,0.0,-0.004821525543132749,0.0,0.0004254216202357835,6.055180598028897e-08,-0.0034327743529397243,0.0,0.0,-0.03180792465288953,0.0007463529276741563,0.0,-1.1650017373160353e-05,0.0,3.4756811483018633e-07
left cerebellum cortex,-0.16258018942602548,0.0,-1.0960017083254769e-06,0.0,1.173146855913335e-08,0.0,7.881817709985167e-05,-1.550923963100196e-06,7.957702927060428e-06,9.757390125268436e-07,-0.1499281707857062,0.0,1.0928804392361407e-06,4.932653565898329e-06,3.680672163464569e-07,-0.000157173409382093,2.3694706156375586e-05,-0.008021159339276948,0.0,-3.605440113684474e-07,-0.006905384664150988,5.514715123109176e-07,0.9191370295047272,5.044878242403499e-06,0.0,2.2804873426165447e-06,1.0514376791497942e-06,6.811360437490915e-07,2.7598964790364293e-06,0.0,1.336715161512729e-06
left thalamus,0.1960422968007446,0.0,-1.102537769240521e-06,0.0,0.00849299439502697,0.0,0.0,0.12450222257532643,0.003994588518891985,-2.5152841333949712e-05,-0.0931207239534425,0.04213457412007438,0.019246681165696743,1.942574094375464e-06,-0.034094853607704416,-0.2574174569068828,0.1272202098375748,0.0,-0.007400774072264816,-2.4437805313579034e-07,0.10057947380423363,-0.04119936342456508,0.0,0.8302096303023784,0.0,0.007762561942860736,5.478368437019605e-05,1.846368585116568e-07,0.10321405456163958,0.05304807646130064,0.0241863165478749
left caudate,0.00020546011935183086,0.006477535570458719,-8.457019159886769e-07,0.0,0.0,0.0,1.5778543964762808e-06,0.0,4.187868196742829e-07,1.741377829090707e-07,0.0,0.0,-1.799271106942758e-06,1.3960338779875238e-05,-2.2378191941913635e-05,0.0,1.3449105695887011e-05,-3.853363363688767e-05,0.0,0.0,0.0,0.0,0.0,2.4861023757607973e-05,0.9362572816554389,6.7743867785860435e-06,2.646200305231572e-09,1.2596558412134481e-05,0.0,0.0,6.140450731695023e-07
left putamen,-2.0941052784801176e-05,3.6301288759878215e-05,-0.0017893644262612282,-0.0033018982392671783,0.0,0.0,1.1837673834886662e-05,0.027299065064555667,0.0,0.07680376712807928,0.0,0.014693032317841966,-7.778193129906918e-07,0.002337825877756616,2.9004072057996325e-05,0.044946434121303676,2.7424294171890246e-07,-3.4188455845320583e-07,0.0,-0.0002444412390902672,-0.0033386547049704877,-3.6180815784140704e-06,0.0,5.686222249366481e-07,0.008051665158619159,1.3612658981937169e-07,0.24597860150313236,0.0001689550888826969,0.00047167199503030956,0.35549877582243045,0.0
left pallidum,-0.00027634287322182157,0.0012897996376947096,0.10546255161903714,0.10844037636722152,0.0,0.07099401016728925,0.0003544150845691371,0.20965698481333314,4.585623360049873e-08,0.0,-0.08243136368279469,0.0013944181334548894,-1.038262247802929e-06,0.12147538583205185,0.0,0.0,7.29285557256047e-06,0.0,0.0,0.0,-0.013758750155565436,0.0,0.0,3.84478389023132e-05,0.0,1.5651334023178638e-06,8.072488635446545e-08,0.010532630958648547,0.0,0.0,3.799085338413338e-07
3rd ventricle,-7.470370419426321e-07,-0.179487010273729,6.559777973938796e-07,0.16929766459287485,0.0,-1.419292535927952e-07,-1.010799204098779e-06,-6.754859724883209e-08,-1.5510996929669356e-06,3.0112296205367407e-08,0.0,0.16817658291024204,-4.2337645065659803e-07,-3.025277582503248e-06,2.0880028890594588e-05,0.00011745684906588305,1.2301657717197627e-07,-4.83681092882245e-09,0.0,4.891072952227451e-07,0.04294021148489333,2.4715523474547815e-06,1.1435637599748086e-06,0.0,0.0,-8.564141488280722e-05,-6.539390782009176e-07,0.0,-1.41448940477971e-06,-0.014469361912969528,2.408861515044144e-08
