,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.06114081311321784,-9.169198407744844e-06,-3.786073506973934e-06,0.0,-0.1347309042208828,1.0461201367108174e-06,0.00012040484818378442,0.0,0.023816027779988497,-7.344987151276654e-08,-0.08109470761673045,0.0,4.087930271688429e-06,4.765269517284835e-06,-1.0909856173974697e-05,5.678418523792036e-07,0.9375058747300565,0.0,-0.0007039820749646759,-2.3750309925479216e-07,0.018488695528599906,0.0,5.615534718958968e-06,0.0024193657467490117,-0.0018278803028753917,0.049611282349453605,0.0,-0.0002580019778700781,4.157274011019429e-07,0.0
left cerebral cortex,3.429011074366017e-07,0.0,-0.003020413904456641,-0.0006254393880125121,0.0,0.024641703316331885,5.649079308191377e-05,0.0,0.0,-0.08719396847388487,-5.0107347200234636e-06,-0.1703675824111352,-0.2197137972693385,0.003631544834120653,0.0034149354961929253,0.0013544643467376196,-1.1988284490430568e-05,0.0,0.9072176255518803,-0.0644127511413088,-5.564200058291069e-05,-0.055501774551455614,0.0,0.0004183699348669896,0.009919810854251854,0.12536141594891467,0.08992714239178069,0.020841145809510613,0.010321095265912777,0.00018882539682927123,0.0
left lateral ventricle,-7.146043215428547e-05,-1.6754959144073819e-06,0.0,0.5114016626753602,0.0,-5.040222515663092e-05,-0.013883152681672948,0.01642820908867145,0.0,0.0,0.003929121067639912,0.178762860140708,-8.903299789953702e-05,-5.944574503392641e-08,-0.017467982201526733,-0.21915467316603762,-0.009729479632768068,-4.606052458407627e-06,-4.0477235182385514e-08,1.3010912222834323e-07,0.03916601234959228,0.0,-8.946241627720562e-06,-0.12823524026507474,0.03513058876603841,0.0,0.1980512246154372,-1.587348582423068e-08,0.0,0.0,0.0
left inferior lateral ventricle,-0.0011521218035494413,-1.9949233377416914e-05,1.8248553635606188e-08,0.0,-2.1060427136209667e-05,-0.0003029462225031311,-0.027997951378658313,0.03906774709444174,-0.026596547731321116,0.0,0.06809315767952431,0.14893225634000037,-0.0011671654358514387,-1.8200333113009045e-07,0.029253520895457026,-0.06970643476708802,-0.022372909717271922,-3.0490158586758195e-05,-1.096341908910325e-07,3.0247427593862355e-07,0.7806796658520606,-7.370551526813382e-05,0.0,0.0,0.04764878494832982,0.0,-0.0014422677218959735,-2.1165587899983304e-07,0.04536947083596149,-0.0011187485068023125,0.0006296158584148018
left cerebellum white matter,-1.424213619956553e-06,-5.180322423125577e-07,0.00023702676429401503,-6.739310991260095e-05,0.0,0.33130049364395653,1.1031257775233218e-05,0.007777244220916878,-0.0006478778850815772,0.0,-2.9508750505202067e-07,0.0999258704170458,1.0098714046005177e-07,0.00037875880260208357,-3.936736346917159e-05,-0.0004943045038022791,2.3755932648168806e-06,0.0,-5.980967290674833e-07,-0.04414024884757739,-4.909573344441583e-06,5.095904173840509e-08,-0.207990077339483,7.724870902129394e-05,0.06764967567838105,0.010287402498215236,0.0,0.010330367368602806,-0.0009509040673309529,1.650851973909405e-05,2.5332226528102595e-07
left cerebellum cortex,-4.6077863454796964e-07,1.7343246874294075e-06,1.4819695190923038e-05,0.0,5.038101733698401e-08,0.0,1.0639009963148476e-06,0.0,-0.0002181594874033304,0.0,-1.2807186327508035e-07,0.0,5.380128537058509e-07,0.00011897954876094112,7.84532640772733e-06,2.8688318563313185e-06,3.951725588951261e-07,0.0,2.1518367949787737e-08,-0.0015120930718574193,0.0,3.664150419854516e-07,0.9263291652159933,7.450597954073664e-06,0.00017195887357741898,0.0,0.11611570657843921,0.0012426379608083279,0.00015737970567365043,3.308543552172738e-06,6.892504330305282e-08
left thalamus,0.07070980372872086,0.0007306169366634251,-9.420658438596715e-08,-1.2834005960363033e-06,0.00030755380482905595,0.024522227000072783,0.0,2.3287753582753603e-07,1.7159523523064187e-05,-0.20865741262686788,-0.26165447805225783,0.017565261666245228,0.007627184845252255,1.3305577856272918e-07,0.0,-1.2321212395663536e-06,0.4344633348852745,0.0,0.0,-1.018352650444762e-05,-9.7640346283872e-07,0.002806608995516422,0.0,5.570172841593764e-08,8.983900013267257e-06,8.475963432727558e-05,0.0016562345975186172,2.507973279937677e-06,1.968729733920426e-06,0.11216349011346669,0.07254622986320182
left caudate,6.922181728971105e-05,3.503667545790936e-06,1.6711099482392763e-06,9.578884479227002e-07,0.0,1.5901040718720366e-05,0.008984284215373083,0.0,0.47301074009134425,0.056109052106018166,0.0009942019645372048,2.7185967011473773e-05,5.622916292990414e-05,1.0420437271293293e-06,3.1864447402227084e-06,0.12250381928717327,0.00040096992152103585,-5.3297949230799765e-06,-3.249338139562904e-08,5.023132169194615e-07,0.0,1.0907642862823927e-05,9.368207801463598e-06,0.10890118820513844,-3.207635261872809e-08,2.3747142507131067e-07,2.4974234448848487e-06,9.590974211449987e-06,4.506563961281776e-07,0.0,1.0253227061160108e-05
left putamen,1.724478969405502e-06,1.971043925805859e-06,0.0,-1.5185228603064678e-06,0.0,4.9033975447016346e-06,0.0007122717904671439,2.698529865586088e-08,0.0,0.6253169508127423,0.00015655029653754065,9.725932070462142e-06,0.0,0.0,7.952165483437536e-07,0.20374807982388665,2.9298334057888664e-05,-5.69148582244693e-07,0.0,-4.7075139530467276e-07,-7.1759078554909145e-06,1.4758161517696148e-05,2.0106984407110553e-07,0.007392272407404151,4.2498485816609746e-09,4.6294171445292e-08,3.4155506822751294e-07,4.654482718255352e-06,2.3716151980780017e-06,0.011568064391183616,0.0
left pallidum,-3.0148683924445096e-07,0.0,3.311644422930832e-07,-1.3225498467623503e-08,0.0,1.352680849099319e-06,-2.0816107694973844e-08,1.544613535655759e-07,2.5238278331301787e-08,0.0,1.8003299501138144e-05,1.801672638964079e-06,-3.6573332592477244e-07,2.793618358961336e-07,1.230099434312716e-06,4.999354860834309e-07,3.5164934655463854e-06,0.0,-4.757990190970663e-08,0.0,0.0,0.0,-2.3389426606634656e-07,5.031185495636951e-07,0.0,9.61394622788542e-09,9.016484924334005e-08,5.067593543741534e-06,5.291170364107642e-06,0.0,0.0
