,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.7850267020587129,0.24733941765070805,0.0,-2.04447504859634e-07,-0.08234602119953909,1.8577456483495747e-07,0.007649789132935461,0.026379954927217345,0.08024054271476931,0.153719714033085,0.0,5.718345618225116e-08,0.0,0.00029480574885123274,-0.04680030238532566,2.294316327843711e-05,0.8069191963724589,-0.6197339613705384,-0.007790416242707633,0.0,0.0,-0.015521969619530503,3.331705472035044e-08,0.0,-0.07820643949201835,0.08510277175347294,-0.15727821438501216,0.0,-0.36597190722334855,0.0
left cerebral cortex,0.0,0.0,-3.6616462130276446e-05,-0.07781442188173668,-4.918649805626473e-07,0.10268088646623612,2.778433046735925e-07,0.0,0.2443604671534739,-6.51634286177885e-08,-1.4693781778457874e-06,-0.06753874758433605,-5.423136461489543e-07,5.615733835517258e-05,0.0010790227598383418,3.424779916915898e-08,4.804029406924616e-05,1.8897867662642327e-08,3.011282580881911e-08,-1.2235762033291888e-06,0.0,-8.5579553500363e-08,0.006457034400177272,1.3540745569863554e-08,-0.03415912942960542,-0.33008503302674963,-6.792749751379626e-07,0.0595804525691611,0.02033985224148066,1.2454292956442846e-07,-1.727227049649593e-06
left lateral ventricle,-7.458301165363767e-09,0.00010315265554027737,0.0,0.5967659625903378,2.7897133480754944e-07,-2.926559963891848e-06,-4.6984298672169363e-07,0.054953412783199054,-0.0006385591118517817,0.0,0.2591147373817664,0.26454686480444584,-4.859149146789045e-07,-0.00014250438089296471,-0.013958118195472742,-0.029690988505519537,-9.410264360152925e-05,-3.013077062725692e-08,-0.0011884105934872955,0.8827476847976323,-0.04670413020871066,4.834283413907609e-07,-2.3470421236809806e-07,-3.09200320485444e-08,0.0,-0.08557178944596641,0.0073769197243471795,0.26110819226555987,0.0,-0.0002711448070748567,-3.184066423551774e-07
left inferior lateral ventricle,-2.1213307283962658e-07,1.4924338800348313e-08,7.794049421448042e-08,0.0,-6.954255639209021e-08,-2.452701840627978e-07,-2.116826057263079e-06,-6.183113495579568e-07,0.0,3.475641000070957e-09,8.064490528178463e-08,0.000652766882775663,0.0,8.305362832506384e-06,6.203649141434887e-08,-6.030002606259486e-06,-2.2086904553365473e-06,-2.2043473030783107e-07,-6.085886128182171e-07,9.827540951445793e-08,0.6867620444798137,0.0,0.0,-1.395042229156891e-07,-4.586488803975935e-07,1.407827051480444e-07,1.2294892171349434e-06,0.0,0.0,4.4873153324919463e-07,3.418907965197669e-07
left cerebellum white matter,-0.18183478561154232,0.0,-0.02625767529063448,-0.08773423891232975,0.0,0.5689003259274577,-1.4178711668301875e-07,-0.0029473186346427984,0.0004520816720537833,0.004903840613844307,0.07431456175802588,0.0,3.256205290612521e-08,5.697937055909209e-06,0.00012542305677895092,-0.09855423446492285,7.678030652748273e-07,-0.07156794263530722,-0.03220745134603862,0.00017245878856848615,-0.09626530881957662,0.8791228238789199,-0.10304539438067288,0.0,-0.0017095185172912822,0.0,0.03496292351538085,0.0,0.0,-0.06435408158398581,6.209462270973576e-08
left cerebellum cortex,-3.0455636695488885e-07,2.9003099231051207e-07,-0.008393869879240772,0.023493396479266553,4.4401065860372994e-08,0.0,0.0,-0.021651178832477826,0.0030960492540035634,9.937504039094598e-07,0.00015935382266593311,0.05820476876472299,1.6228187572296927e-07,5.3883384782489426e-05,0.001033147845750404,0.0,4.307985411982824e-06,-9.160089379526712e-08,1.685722768797485e-07,-9.096636431955004e-05,0.0,0.0,0.804072099641506,9.336146213850686e-09,-0.07107494936193645,-0.04594909138677161,0.0,0.0,0.0,0.0,2.8145793610632864e-07
left thalamus,0.21096037701349427,0.05180662656802719,-0.13969334909580122,0.0,0.0,0.02341056647054764,0.0,0.0,0.0011427176882864447,0.012793701509895736,-0.04041577959430033,-0.24101785665148506,3.65421355201066e-08,6.8604459174861885e-06,0.00010925946810442677,0.0,1.6143706915254525e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.828891915154033,0.0,0.0,0.07567039902084581,-0.012281899471912128,0.0,0.13032478900843297,7.328749083436064e-08
left caudate,-1.381481908795268e-06,-7.59471629524679e-07,0.0,0.0,0.0,-1.0972828926795197e-06,5.361403383659175e-06,0.0,0.30401460263869956,-4.118094238531822e-08,-1.4283246499928553e-06,0.01211646387694143,-1.288211797114209e-05,-0.013009132355153316,-0.1566736792338174,2.451412063242305e-07,0.0009366950558486904,9.934210605049505e-07,-4.4341395811079585e-06,-1.6235691705134108e-09,0.02243790905734851,8.03776405917185e-07,0.0,4.334393434900695e-07,4.605586364870776e-08,-0.1952936296329197,1.6926245774343424e-07,-0.06286960597227387,0.09636880977770296,4.380847805072601e-07,1.5621572015035993e-05
left putamen,1.563889367560413e-08,5.8543167011096906e-08,0.0,-0.084750934777669,0.0,-3.819830690918637e-07,7.320190318177232e-06,3.763635826807145e-08,0.0,5.435715982351982e-08,0.0,-0.01032397049321703,1.4877935106235785e-05,0.023959178426517756,0.36017918780571107,4.368414112532168e-07,0.0033512251446160867,-5.5972275375424456e-08,-8.602639988899923e-09,-1.0048869733801803e-07,-0.07973294577288931,6.350130140458582e-07,2.8060660580580224e-08,5.254753645523332e-07,3.416791119564448e-07,0.4928600655322133,2.605619748130402e-07,0.0,0.009914579746767798,1.375104662637438e-06,6.243310469319325e-05
left pallidum,0.0,0.03520100486277029,-5.489434914372218e-06,0.0,-1.1316966635341597e-08,-0.02408992283167689,1.40072969619275e-06,-0.04001303386612188,0.3294829349379975,0.0,-7.478628545169577e-06,0.01669573275021913,4.9413982920673476e-06,0.001602051710244995,0.11641237182419033,3.616936585559339e-07,0.000862996510490301,-2.203975770418352e-09,-0.14534188589312166,-1.0187448904436255e-07,-0.009310919467152684,0.0,-0.0022803755842025577,6.731582367997433e-08,0.0,-0.0252601594922044,4.253356129757776e-08,0.0,0.0,1.0041403753577053e-06,2.2532418501562513e-05
