,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.0,0.0,-0.07761128854917405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06583093160225506,0.0,0.9576219472777456,-0.786742433226504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebral cortex,-0.10801660946687158,0.0,0.0,0.0,0.0,0.0,0.1697309911778832,0.0,0.0,0.0,0.0,0.0,-0.07769268986775552,0.0,0.0,-0.30288991637873275,0.19435970334345934,-0.03583136052377097,0.9617702073313033,-0.09057137549123216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left lateral ventricle,0.0,0.0,0.0,0.10329991691174663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.517012703432212,0.0,0.0,-0.036824392883038515,-0.0597756284653537,-0.020111218908720675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42650102098980874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum white matter,-0.2116368670887841,-0.22346713269702748,0.0,0.0,0.0,0.3080598288617078,0.0,0.0,0.0,0.0,0.0,0.0,0.17829510657120362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10996033317042606,0.0,0.0,0.0,0.0,0.0,0.0,0.3052965244414302
left cerebellum cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02125065899920881,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16831915702101968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left caudate,0.0,0.0,-0.06570916037166993,0.0,0.0,0.0,0.0331713849615778,0.0,0.0,0.0,-0.06251202435592343,0.0,-0.04742282644262072,0.0,0.0,0.0,0.0,-0.01339395228060463,0.0,-0.46249630372595124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left putamen,0.0,0.08485046713127348,0.2403733491251127,0.0,0.0,0.0,0.3408110095477998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0969241916754655,0.0,-0.15820291796840402,0.0,0.0,0.0,0.0,0.08318427870504749,0.0,0.0,0.0,0.0,0.37088657534564023,0.0
left pallidum,-0.12007719960025857,0.0,0.0842046886902031,0.07268504340021972,0.0,0.0,-0.26353906272944655,0.02599544016896229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07768556614124919,0.0,0.0,0.33636664477833517,0.0,0.0,0.06445755224846555,0.0,0.11403294750069332,0.16434785575102068,0.0,0.21528433805660802,0.0,0.0,0.0
3rd ventricle,-0.27263004888861764,-0.12577102323568984,0.11982185194218192,0.18678538275056322,0.0,0.0,-0.04129912519038583,0.0,0.0,0.0,0.0,0.0,-0.10935576752182206,0.0,0.0,0.0,0.0,0.0,0.0,0.32412207940564064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10680819235929029,0.0
4th ventricle,-0.1510798091521847,-0.14636963553310828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30597409933897496,0.0,-0.10032223739632613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17107529694230442,-0.09434219593021576,0.0,0.0,0.0,0.0,0.0,0.0
brain-stem,0.09099699502745441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14996219015139756,0.0,-0.03396281722066639,-0.21337534397025373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left hippocampus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05673203866540712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left amygdala,0.0,0.0,-0.0874816865036195,0.12994963500464393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08691989526925832,0.0,0.0,0.0,0.0,0.0,0.09911379055390131,0.0,0.0,0.08345136931199873,0.0,0.0,0.0,0.0,0.0,0.5929263887714146,0.0,0.0983390369760879
left accumbens area,0.0,0.0,0.0,0.0,0.0,0.0,-0.1549281881434193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
