,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.0,0.0,0.0,0.0,-0.32484275477509567,0.0,0.13359666803368178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebral cortex,0.5044246283406435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.24252207941094028,0.0,0.0,0.0,0.0,0.0,0.9649928768576838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11273417902434649
left lateral ventricle,0.0,-0.07547256146326196,0.0,0.20874880911255297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3327663071988103,-0.1258681522399848,-0.4609986160233087,0.0,-0.15442786055339483,0.0,0.0,0.0,0.8451124613845016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14953978088550499,0.0,0.0,0.0,0.0,0.0,-0.20972039283252897,0.0,0.0,0.0,0.0,0.0,-0.21378272992596314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum white matter,0.0,0.0,0.0,0.0,0.0,0.34753970361239866,0.10286505381870076,0.0,0.0,0.0,0.0,0.10907574363666211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9334648639414993,-0.41234832440787045,-0.1993318700971274,0.0,0.0,0.15227917416268832,0.09856432336428479,0.0,0.0,0.0
left cerebellum cortex,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05043000893873648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9628346063686515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left thalamus,0.0,0.10249064452549468,0.0,0.0,0.0,0.15346056691606433,0.0,0.18786782821070225,0.0,-0.31828643159043757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7438544041635858,0.0,0.0,0.0,0.0,0.0,0.0,0.29594873051695214
left caudate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056309704295768474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8743944004925688,0.0,0.0,0.0,0.0,0.0,0.0
left putamen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.346829128770351,0.0,0.733428987204338,0.0,0.0,0.0,-0.05679287882343868,0.0,0.13305604248688027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.10902642424888742,-0.30682988524706156,0.0,0.0,0.0,0.0,0.0,0.0
left pallidum,0.0,-0.13345500643089134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05358613785497682,0.0,0.0,0.0,0.0,0.0,0.09752923700235533
3rd ventricle,0.0,-0.21881932155128397,0.3177920908051169,0.12060414085049961,0.0,-0.20625844444977437,-0.2255502626140123,0.0,0.0,0.0,0.0,0.15462885148732114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10208444977998114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.23193114351034966,0.3701152989709835
4th ventricle,0.0,-0.0911387368177693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain-stem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09716466394530587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5082748439071505
left hippocampus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left amygdala,0.0,0.10471368013590335,0.0,0.0,0.0,0.20223891833338062,0.0,0.0,0.0,0.0,0.0,0.12226370034822194,0.0,0.19751013637903764,0.0,0.0,0.0,0.0,0.0,0.07334840337234821,0.0,0.0,0.0,0.04876215876214478,0.0,0.0,0.0,0.485633072197085,0.5991996745240231,0.0,0.0
left accumbens area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23903325316503954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
