,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.0,-0.13435451281604555,0.0,0.0,-0.396842342496121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.30261916596614064,0.0,0.2530119145506121,0.0,0.0,0.0,-0.12586014172192722,0.0,-0.16991019594035964,0.0,0.0,0.0,0.0,0.0,-0.308219046400377,0.0,0.0,0.0
left cerebral cortex,0.5022655511816363,0.0,0.24145529645417504,0.0,-0.0647659096670534,0.3046100677906477,0.14879752945470287,0.0,0.3295104878942879,0.0,0.0,-0.12886397710249958,0.0,0.5120687045975603,0.0,-0.2959846926961541,0.039144181756983275,0.0,0.7415547679908768,0.0,0.0,-0.19275005803371015,0.0836060057811286,0.6385506594669949,0.0,-0.47581318781697746,0.0,0.089463641044823,0.0,0.0,0.0
left lateral ventricle,0.0,0.0,0.0,0.2842867191757016,0.0,-0.0603011969299566,-0.16695481766335968,0.0,0.0,0.0,0.47163262515267645,0.24847695432446407,0.0,-0.3589264596874277,-0.06252711796213524,-0.14482294751393138,-0.12674283130856911,0.0,0.0,0.8610086514054084,0.0,0.0,0.0,0.0,0.0,-0.15780881554109719,0.0,0.4306730998151256,0.0,0.0,0.04587526667841767
left inferior lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum white matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum cortex,0.0,0.0,0.0,0.0,0.4181386968636865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7917648936282529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6109400076878638,0.0,-0.1588767770376861,0.0,0.3165545778431737,0.0,0.0,0.18979513252240376,0.0,0.0,0.1381097014636321,0.0,0.5176085315382735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left caudate,0.0,0.0,0.06904329629726551,0.0,-0.05524221468167123,0.0,0.0,0.0,0.3754776654907573,0.0,0.0,0.0,-0.09737244605175505,-0.36354700360132763,0.0,0.03183580222002774,-0.0588098341289447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2722393469526147,0.0,-0.07580433535258571,0.0,0.0,0.0
left putamen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10021388035928426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5374379198977195,0.0,0.0,0.11094669485232182,0.0,0.0
left pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3450988053538068,0.0,-0.11513022869961423,0.0,0.0,0.0,0.11570315576248935,0.09076213262428533,0.07904914129791824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.556344414439428,0.0,0.11887605070601498,0.0,0.0
