,left cerebral white matter,left cerebral cortex,left lateral ventricle,left inferior lateral ventricle,left cerebellum white matter,left cerebellum cortex,left thalamus,left caudate,left putamen,left pallidum,3rd ventricle,4th ventricle,brain-stem,left hippocampus,left amygdala,left accumbens area,left ventral DC,right cerebral white matter,right cerebral cortex,right lateral ventricle,right inferior lateral ventricle,right cerebellum white matter,right cerebellum cortex,right thalamus,right caudate,right putamen,right pallidum,right hippocampus,right amygdala,right accumbens area,right ventral DC
left cerebral white matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebral cortex,0.5230081168040641,0.0,0.0,0.0,-0.1486749214094252,0.2123856737365078,0.20284082497935205,0.0,0.40855185447613224,0.0,0.0,0.0,0.0,0.0,0.0,-0.19862001289319392,0.0,0.0,0.7164347890453965,0.0,0.0,0.0,0.0,0.3539906081570458,0.0,-0.37201085469754436,0.0,0.0,0.0,0.0,0.0
left lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,-0.22118764492391071,0.0,0.0,0.0,0.0,0.29384168163334645,0.0,-0.4639871863660337,-0.31482237719851075,-0.19899784910623344,-0.15360008101119985,0.0,0.0,0.8704851530104615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left inferior lateral ventricle,0.0,0.0,0.30486031959283233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum white matter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left cerebellum cortex,0.0,0.0,0.0,0.0,0.3962906629618208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8546488425745261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left thalamus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left caudate,0.0,0.0,0.0,0.0,-0.11366478871382517,0.0,0.0,0.0,0.32992857368363315,0.0,0.0,0.0,-0.17881070164800758,0.0,0.0,0.16435792604102686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22819768608697277,0.0,-0.2372106530850883,0.0,0.0,0.0
left putamen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left pallidum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23836751369603545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48768823897261826,0.0,0.0,0.0,0.0
3rd ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.22845416373668062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.25624435603813506,0.0,0.0,0.0,0.0,0.0,-0.23297227945048105,0.0
4th ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15659727038695395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brain-stem,0.0,0.0,0.0,0.0,0.3109704865826404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left hippocampus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left amygdala,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3744079786459719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left accumbens area,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
left ventral DC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.43489218035025917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7571163597527955
right cerebral white matter,0.853259949529309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
right cerebral cortex,-0.6909228859719493,0.0,0.0,0.0,0.0,0.0,-0.24230962220974375,0.0,-0.537207896160966,0.0,0.0,0.0,-0.1797929390918418,-0.318669015245598,0.0,0.39014824985650487,0.0,0.6636979219957405,0.0,0.0,0.0,0.0,0.0,-0.29419746403357405,0.0,0.5102841575140243,0.0,0.0,0.0,0.0,0.0
right lateral ventricle,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.4392106140121901,-0.2000735957331966,-0.2595768698908209,0.0
right inferior lateral ventricle,0.0,0.0,0.1704957595747085,0.6618545818974387,0.0,0.0,0.0,0.0,0.0,0.0,0.24523438300923744,0.0,0.0,0.0,0.0,0.0,0.0,-0.22435045782347435,0.0,0.2047769536486173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1122858461096662
right cerebellum white matter,0.0,0.0,0.0,0.0,0.7311246517156019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4420711588806368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
